Développeur backend .net H/F,TERRES D&#x27;AVENTURE,Télétravail hybride à 75002 Paris 2e,Analyser et développer les correctifs applicatifs des incidents utilisateur.
 Développer et maintenir les applications internes.
 SQL Server (SSMS, SSIS, SSRS).
Développeur .NET H/F,NOVALYO,Télétravail,Une gamme de solutions métier Web, Desktop et Mobile, destinée aux clients de la société.
 Des logiciels de gestion interne en mode Web.
POEC Développeur .NET H/F,IB groupe Cegos,44822 Saint-Herblain,Cette formation est entièrement financée par Pôle Emploi et se déroulera du 9 mai 2023 au 01 août 2022..
 Net est *de concevoir des applications à l’aide la…
Développement d&#x27;applications F/H,Matmut,76100 Rouen,Vous avez des connaissances solides en développement C# .net et des technologies du WEB (HTML, Javascript, CSS, ...).
 Cohésion, proximité et mixité des équipes.
Développeur.net (H/F),Atos,Lyon (69),Leader international du numérique sécurisé et décarboné, Atos contribue à façonner les nouvelles technologies avec ses clients.
Développeur C# junior (IT) / Freelance,FREELANCEREPUBLIK,Télétravail à 60000 Beauvais,2 à 5 ans d’expérience en tant que développeur C# (Juniors acceptés).
 Bonne capacité d’adaptation à un contexte fonctionnel et technique fixe.
Développeur C# .Net H/F,Xelya,Télétravail,Net, et un frontend sur AngularJS, nous travaillons en méthode Agile avec des sessions Scrum composées de sprints allant de 1 à 3 semaines.
développeur fullstack .net/react (IT) / Freelance,Gentis Recruitment SAS,Paris (75),Développement dune appli from scratch destinée à l’analyse des flux financiers inter bancaire.
 Devops-jenkins-ansible-k8s-docker.
Software development engineer (Angular/ .Net / C#) - Full remote -,N2JSOFT,Télétravail,En plus de rejoindre une équipe sympathique avec l’ambiance Startup, notre spécificité est notre capacité à innover et à faire des outils ergonomiques et pensés…
Ingénieur développement mobile .Net MAUI H/F,Hager Group,Obernai (67),Rejoignez l’équipe internationale intégrée (Développement logiciel, PO, Développement données) qui développe des applications telles que Hagercad, Hager Ready,…
Développeur .Net /.Net Core H/F,Inetum,Bordeaux (33),Diplômé d'une formation supérieure et doté d'une expérience en développement .net d'au minimum 3 à 5 ans, découvrez cette opportunité de carrière au sein de…
Développeur Back-end C++ (F/H),Novencia,Paris (75),Développeur.euse Back-end C++ depuis au moins 5 ans, tu es à la recherche de nouveaux défis.
 Net 4.6.1, environnement windows, CppUnit (tests unitaires), Python…
Développeur C#/.Net H/F,Atos,13799 Aix-en-Provence,Leader international du numérique sécurisé et décarboné, Atos contribue à façonner les nouvelles technologies avec ses clients.
 NET Core, MS WinForms 2.0.
Développeur C# .NET - PARIS H/F,Capgemini,Paris (75),Participer aux phases de mise en production et livraison des nouvelles applications ;
 Participer aux ateliers métiers en lien avec les business analystes,.
Architecte solution Angular.net F/H,Matmut,Bordeaux (33),Développer des applicatifs backoffice sur stack Angular 10 / .net core.
 Analyser et diagnostiquer l'origine et les conséquences d'un incident.
Développeur C# /.NET (ENERGIES RENOUVELABLES &amp; CLIMAT),Seyos,Saint-Herblain (44),Le client est le leader mondial des logiciels de simulation numérique du vent utilisant la technologie CFD (mécanique des fluides numérique).
Développeur .Net - Client Final (H/F),HURRYMAN,Télétravail à Paris (75),Travailler sur leur solution interne en concevant, développant et maintenant les architectures back-end.
 Net, ASP.Net MVC, NHibernate, HTML /CSS, Visual Studio,…
Analyste développeur web (H/F),EURO-INFORMATION DEVELOPPEMENTS,59237 Verlinghem,Euro-Information, filiale technologique de Crédit Mutuel Alliance Fédérale, conçoit, réalise, maintient et exploite un système d’information commun utilisé par…
Fullstack Developer .Net core / Angular - H/F,Seyos,Télétravail à Nantes (44),Notre client est un éditeur de logiciels qui conçoit et fournit des solutions SaaS pour libérer les entreprises et leurs collaborateurs des tâches…
Développeur .NET H/F,Inetum,Meylan (38)+ 4 lieux,Pour ce projet, nous avons repris toute la gestion du parc applicatif de notre client, représentant 60 applications et progiciels sous un environnement…
INGÉNIEUR.E DÉVELOPPEMENT C#.NET CORE (H/F/X) - DÉBUTANT,IT link,Strasbourg (67),Engagé.e.s pour l'égalité des chances, nous pensons que la diversité est une richesse.
 Analyse des besoins et rédaction des spécifications techniques.
Développeur C# .Net H/F,Lea Recrutement,Montpellier (34),Participation aux phases de spécifications fonctionnelles et techniques,.
 Participation aux phases d'intégration continues (Azure DevOps).
C#/.NET developer,FineDigit,Paris (75),You hold yourself to a high standard, your customer service and communication skills enable you to offer tailor-made expertise in your approach to customers.
Développeur .NET H/F,Groupagora,Ugine (73)+ 4 lieux,Cette fois-ci, notre partenaire, une entreprise spécialisée dans l’industrie souhaite renforcer son équipe de développeurs dans le cadre de son développement.
Développeur C# / .NET (IT) / Freelance,INFOTEL CONSEIL,45000 Orléans,Vérifier la conformité des livrables/des composants en fonction du besoin exprimé.
 Contribuer à la stratégie de tests, aux tests unitaires et aux tests d…
Développeur Back End C# F/H,FED IT,Berre-l&#x27;Étang (13),Préconiser des solutions d'amélioration à court, moyen et long terme.
 Vous avez une connaissance des normes du domaine de la santé (HL7 / HPRIM / IHE).
